Id,Name
63,
9,Aerospace & Defence
22,Automobiles & Parts
52,Automobiles and related providers
53,Banking
23,Banks
21,Beverages
19,Chemicals
56,Commercial Transport
11,Construction & Materials
43,Construction and Building Materials
42,Defense and Aeronautics
29,Delivery Services
33,Electricity
60,Electricity Generation and Distribution
45,Energy Producers
61,Engineering
4,Financial Services
38,Financials
16,Fixed Line Telecommunications
36,Food
27,Food & Drug Retailers
55,Food Pharmacy Retail
2,Food Producers
26,Forestry & Paper
64,FTSE 100
18,"Gas, Water & Multiutilities"
31,General Industrials
20,General Retailers
62,Hardware
59,Health Care
32,Health Care Equipment & Services
44,Household Goods
12,Household Goods & Home Construction
25,Industrial & Office REITs
50,Industrial Chemicals
35,Industrial Engineering
37,Insurance
40,IT Hardware
57,IT Services
7,Life Insurance
58,Manufacturing
24,Media
1,Mining
34,Mobile Telecommunications
28,Multiutilities
3,Nonlife Insurance
13,Oil & Gas Producers
54,Paper and Other Forestry Products
15,Personal Goods
41,Pharma and Biotech
8,Pharmaceuticals & Biotechnology
46,Property Investment Trusts
14,Retail REITs
51,Retailers
30,Software & Computer Services
39,Support
5,Support Services
6,Technology Hardware & Equipment
47,Telecom Operators
10,Tobacco
48,Tourism and Leisure Services
17,Travel & Leisure
49,Utilities
